,raise
raise11000,dropt
raise11000dropt22000,drawn
raise11000dropt22000drawn22200,drama
raise10011,wheep
raise10011wheep10020,screw
raise00002,gluon
raise00002gluon22010,globe
raise10001,coted
raise10001coted00110,erupt
raise12001,empty
raise12001empty20002,early
raise00000,could
raise00000could10100,thumb
raise00000could10100thumb01100,hunch
raise02012,touch
raise02012touch10000,yawps
raise02012touch10000yawps02001,baste
raise01000,clout
raise01000clout01100,wonky
raise01000clout01100wonky02001,loyal
raise00000could02001,dowdy
raise00000could02001dowdy22012,dodgy
raise12001empty10000,vigil
raise12001empty10000vigil00100,gazer
raise00202,cloth
raise00202cloth02020,elite
raise00101,lined
raise00101lined01010,befit
raise10101,vined
raise10101vined01120,infer
raise01100,alant
raise01100alant10000,pizza
raise02000,cyton
raise02000cyton00000,gamma
raise02000cyton00000gamma02222,mamma
raise10100,thong
raise10100thong00100,curio
raise20022,reuse
raise10200,plunk
raise10200plunk00020,bring
raise10200plunk00020bring02221,grind
raise02011,easel
raise11000dropt02002,craft
raise11000dropt02002craft02202,grant
raise11000dropt02002craft02202grant22222,grant
raise00001,lento
raise00001lento01020,empty
raise00001lento01110,event
raise00001lento01110event10012,unmet
raise10101vined01021,idler
raise12001empty10100,paler
raise00102,lingo
raise00102lingo22020,liege
raise02010,tonal
raise02010tonal10010,hasty
raise02010tonal10010hasty02220,pasta
raise11000dropt01200,acorn
raise11000dropt01200acorn20220,agora
raise11000dropt21000,dwarf
raise11020,tachs
raise11020tachs01002,brass
raise10100thong10200,droit
raise20001,could
raise20001could02000,wrung
raise20001could02000wrung01000,rover
raise01200,nopal
raise01200nopal10010,aging
raise00011,spelt
raise00011spelt10102,onset
raise00011spelt10102onset02222,unset
raise20111,resin
raise20111resin21210,riser
raise02000cyton01001,domal
raise02000cyton01001domal00011,lanky
raise00100,linty
raise00100linty02010,wodge
raise00100linty02010wodge20000,witch
raise00000could02020,whang
raise00000could02020whang01000,holly
raise00010,muton
raise00010muton00010,scold
raise11000dropt01100,mercy
raise11000dropt01100mercy00110,cobra
raise11010,clapt
raise11010clapt00201,stark
raise10011wheep00220,sneer
raise01001,tepal
raise01001tepal21020,tweak
raise00101lined02220,piney
raise02100,clipt
raise02100clipt10110,panic
raise10021,pechs
raise10021pechs01002,dress
raise11002,bract
raise11002bract02200,pudgy
raise11002bract02200pudgy10100,drape
raise11000dropt12000,brand
raise00110,shout
raise00110shout10020,ficus
raise20102,ridge
raise00200,clout
raise00200clout00120,opium
raise00001lento11100,blend
raise10102,dirge
raise10102dirge01202,eerie
raise00000could01100,gumbo
raise00000could01100gumbo12001,ought
raise00100linty01012,itchy
raise01000clout00100,dogma
raise01000clout00100dogma02011,woman
raise00000could02000,boozy
raise00000could02000boozy02202,goofy
raise00002gluon02200,mufti
raise00002gluon02200mufti01000,elude
raise10101vined02021,cider
raise12022,parse
raise00001lento11000,eched
raise00001lento11000eched10000,quell
raise00000could22200,couch
raise00000could22200couch22200,count
raise10000,count
raise10000count01010,gybed
raise10000count01010gybed00100,brown
raise10000count02000,woody
raise10000count02000woody12012,dowry
raise10200plunk00102,quirk
raise01001tepal12011,dealt
raise01001tepal12011dealt22222,dealt
raise12001empty11000,gamer
raise12001empty11000gamer02121,harem
raise00010muton01000,shuck
raise00010muton01000shuck20202,skulk
raise10202,tumps
raise10202tumps00020,gripe
raise01000clout20002,chant
raise11200,tubed
raise11200tubed20002,triad
raise02000cyton11100,tacky
raise20111resin21212,risen
raise10001coted01220,otter
raise00000could00210,flunk
raise00000could00210flunk22220,flung
raise01002,black
raise01002black00220,peace
raise00100linty02010wodge00010,turfy
raise00100linty02010wodge00010turfy20000,tight
raise01100alant10010,ninja
raise01200nopal01010,axiom
raise00001lento02011,depot
raise01001tepal12011dealt02212,leant
raise01010,clapt
raise01010clapt10100,scuba
raise10101vined01010,merit
raise10101vined01010merit02220,peril
raise00110shout21002,sight
raise02001,notch
raise02001notch10100,taken
raise00022,cloth
raise00022cloth00101,house
raise00022cloth00011,these
raise02002,gulch
raise02002gulch10000,badge
raise10000count00201,zymes
raise10000count00201zymes00000,truth
raise11001,defat
raise11001defat02010,learn
raise11001defat02010learn12220,pearl
raise00001lento01010,eject
raise00001lento01010eject10201,tweed
raise00212,plunk
raise00212plunk10001,spike
raise01000clout00010,guava
